question_id,is_correct,difficulty,successful_run,feedback
479,False,moderate,False,Error executing query: 'Database' object has no attribute '_get_db_path'
1057,False,moderate,False,Error executing query: 'Database' object has no attribute '_get_db_path'
1367,False,simple,False,Error executing query: 'Database' object has no attribute '_get_db_path'
298,False,moderate,False,Error executing query: 'Database' object has no attribute '_get_db_path'
651,False,simple,False,Error executing query: 'Database' object has no attribute '_get_db_path'
1145,False,simple,False,Error executing query: 'Database' object has no attribute '_get_db_path'
1165,False,moderate,False,Error executing query: 'Database' object has no attribute '_get_db_path'
494,False,challenging,False,Error executing query: 'Database' object has no attribute '_get_db_path'
1126,False,simple,False,Error executing query: 'Database' object has no attribute '_get_db_path'
1292,False,challenging,False,Error executing query: 'Database' object has no attribute '_get_db_path'
9,False,simple,False,Error executing query: 'Database' object has no attribute '_get_db_path'
152,False,moderate,False,Error executing query: 'Database' object has no attribute '_get_db_path'
1254,False,moderate,False,Error executing query: 'Database' object has no attribute '_get_db_path'
609,False,simple,False,Error executing query: 'Database' object has no attribute '_get_db_path'
823,False,moderate,False,Error executing query: 'Database' object has no attribute '_get_db_path'
467,False,simple,False,Error executing query: 'Database' object has no attribute '_get_db_path'
489,False,simple,False,Error executing query: 'Database' object has no attribute '_get_db_path'
1133,False,simple,False,Error executing query: 'Database' object has no attribute '_get_db_path'
535,False,simple,False,Error executing query: 'Database' object has no attribute '_get_db_path'
1019,False,moderate,False,Error executing query: 'Database' object has no attribute '_get_db_path'
1154,False,simple,False,Error executing query: 'Database' object has no attribute '_get_db_path'
54,False,simple,False,Error executing query: 'Database' object has no attribute '_get_db_path'
53,False,simple,False,Error executing query: 'Database' object has no attribute '_get_db_path'
34,False,moderate,False,Error executing query: 'Database' object has no attribute '_get_db_path'
904,False,moderate,False,Error executing query: 'Database' object has no attribute '_get_db_path'
542,False,simple,False,Error executing query: 'Database' object has no attribute '_get_db_path'
1341,False,simple,False,Error executing query: 'Database' object has no attribute '_get_db_path'
279,False,simple,False,Error executing query: 'Database' object has no attribute '_get_db_path'
491,False,simple,False,Error executing query: 'Database' object has no attribute '_get_db_path'
1314,False,simple,False,Error executing query: 'Database' object has no attribute '_get_db_path'
1161,False,challenging,False,Error executing query: 'Database' object has no attribute '_get_db_path'
268,False,challenging,False,Error executing query: 'Database' object has no attribute '_get_db_path'
841,False,simple,False,Error executing query: 'Database' object has no attribute '_get_db_path'
1102,False,moderate,False,Error executing query: 'Database' object has no attribute '_get_db_path'
847,False,simple,False,Error executing query: 'Database' object has no attribute '_get_db_path'
1300,False,moderate,False,Error executing query: 'Database' object has no attribute '_get_db_path'
1120,False,moderate,False,Error executing query: 'Database' object has no attribute '_get_db_path'
1441,False,moderate,False,Error executing query: 'Database' object has no attribute '_get_db_path'
920,False,simple,False,Error executing query: 'Database' object has no attribute '_get_db_path'
648,False,simple,False,Error executing query: 'Database' object has no attribute '_get_db_path'
113,False,simple,False,Error executing query: 'Database' object has no attribute '_get_db_path'
686,False,simple,False,Error executing query: 'Database' object has no attribute '_get_db_path'
1405,False,moderate,False,Error executing query: 'Database' object has no attribute '_get_db_path'
883,False,simple,False,Error executing query: 'Database' object has no attribute '_get_db_path'
789,False,simple,False,Error executing query: 'Database' object has no attribute '_get_db_path'
347,False,moderate,False,Error executing query: 'Database' object has no attribute '_get_db_path'
1211,False,moderate,False,Error executing query: 'Database' object has no attribute '_get_db_path'
1115,False,challenging,False,Error executing query: 'Database' object has no attribute '_get_db_path'
1045,False,simple,False,Error executing query: 'Database' object has no attribute '_get_db_path'
227,False,simple,False,Error executing query: 'Database' object has no attribute '_get_db_path'
1379,False,simple,False,Error executing query: 'Database' object has no attribute '_get_db_path'
717,False,simple,False,Error executing query: 'Database' object has no attribute '_get_db_path'
1495,False,simple,False,Error executing query: 'Database' object has no attribute '_get_db_path'
1131,False,simple,False,Error executing query: 'Database' object has no attribute '_get_db_path'
1124,False,moderate,False,Error executing query: 'Database' object has no attribute '_get_db_path'
692,False,moderate,False,Error executing query: 'Database' object has no attribute '_get_db_path'
1459,False,simple,False,Error executing query: 'Database' object has no attribute '_get_db_path'
452,False,simple,False,Error executing query: 'Database' object has no attribute '_get_db_path'
916,False,simple,False,Error executing query: 'Database' object has no attribute '_get_db_path'
66,False,simple,False,Error executing query: 'Database' object has no attribute '_get_db_path'
442,False,simple,False,Error executing query: 'Database' object has no attribute '_get_db_path'
427,False,moderate,False,Error executing query: 'Database' object has no attribute '_get_db_path'
1044,False,simple,False,Error executing query: 'Database' object has no attribute '_get_db_path'
549,False,simple,False,Error executing query: 'Database' object has no attribute '_get_db_path'
1386,False,simple,False,Error executing query: 'Database' object has no attribute '_get_db_path'
938,False,moderate,False,Error executing query: 'Database' object has no attribute '_get_db_path'
1357,False,simple,False,Error executing query: 'Database' object has no attribute '_get_db_path'
477,False,challenging,False,Error executing query: 'Database' object has no attribute '_get_db_path'
713,False,simple,False,Error executing query: 'Database' object has no attribute '_get_db_path'
1458,False,moderate,False,Error executing query: 'Database' object has no attribute '_get_db_path'
784,False,simple,False,Error executing query: 'Database' object has no attribute '_get_db_path'
342,False,simple,False,Error executing query: 'Database' object has no attribute '_get_db_path'
204,False,simple,False,Error executing query: 'Database' object has no attribute '_get_db_path'
458,False,simple,False,Error executing query: 'Database' object has no attribute '_get_db_path'
615,False,moderate,False,Error executing query: 'Database' object has no attribute '_get_db_path'
295,False,simple,False,Error executing query: 'Database' object has no attribute '_get_db_path'
414,False,simple,False,Error executing query: 'Database' object has no attribute '_get_db_path'
1236,False,challenging,False,Error executing query: 'Database' object has no attribute '_get_db_path'
935,False,simple,False,Error executing query: 'Database' object has no attribute '_get_db_path'
776,False,simple,False,Error executing query: 'Database' object has no attribute '_get_db_path'
817,False,moderate,False,Error executing query: 'Database' object has no attribute '_get_db_path'
353,False,simple,False,Error executing query: 'Database' object has no attribute '_get_db_path'
1062,False,moderate,False,Error executing query: 'Database' object has no attribute '_get_db_path'
1501,False,moderate,False,Error executing query: 'Database' object has no attribute '_get_db_path'
159,False,simple,False,Error executing query: 'Database' object has no attribute '_get_db_path'
435,False,simple,False,Error executing query: 'Database' object has no attribute '_get_db_path'
892,False,moderate,False,Error executing query: 'Database' object has no attribute '_get_db_path'
748,False,simple,False,Error executing query: 'Database' object has no attribute '_get_db_path'
192,False,moderate,False,Error executing query: 'Database' object has no attribute '_get_db_path'
678,False,simple,False,Error executing query: 'Database' object has no attribute '_get_db_path'
1224,False,simple,False,Error executing query: 'Database' object has no attribute '_get_db_path'
1177,False,simple,False,Error executing query: 'Database' object has no attribute '_get_db_path'
31,False,moderate,False,Error executing query: 'Database' object has no attribute '_get_db_path'
512,False,simple,False,Error executing query: 'Database' object has no attribute '_get_db_path'
202,False,simple,False,Error executing query: 'Database' object has no attribute '_get_db_path'
1226,False,simple,False,Error executing query: 'Database' object has no attribute '_get_db_path'
893,False,simple,False,Error executing query: 'Database' object has no attribute '_get_db_path'
579,False,simple,False,Error executing query: 'Database' object has no attribute '_get_db_path'
879,False,moderate,False,Error executing query: 'Database' object has no attribute '_get_db_path'
948,False,simple,False,Error executing query: 'Database' object has no attribute '_get_db_path'
