question_id,is_correct,difficulty,successful_run
0,True,simple,True
1,False,moderate,True
2,True,simple,True
3,True,simple,True
4,False,moderate,True
5,False,simple,True
6,False,simple,True
7,False,simple,True
8,False,simple,True
9,True,simple,True
10,False,simple,True
11,False,simple,True
12,True,moderate,True
13,False,simple,True
14,True,simple,True
15,True,simple,True
16,False,simple,True
17,True,simple,True
18,True,simple,True
19,True,simple,True
20,True,simple,True
21,True,simple,True
22,False,simple,True
23,False,moderate,True
24,True,moderate,True
25,False,moderate,True
26,False,moderate,True
27,False,moderate,True
28,True,challenging,True
29,False,simple,True
30,True,simple,True
31,True,moderate,True
32,True,moderate,True
33,True,moderate,True
34,False,moderate,True
35,False,moderate,True
36,True,challenging,True
37,False,moderate,True
38,False,simple,True
39,False,simple,True
40,True,moderate,True
41,False,simple,True
42,False,simple,True
43,False,moderate,True
44,False,simple,True
45,False,moderate,True
46,False,simple,True
47,True,moderate,True
48,False,moderate,True
49,False,moderate,True
50,False,simple,True
51,False,simple,True
52,True,simple,True
53,False,simple,True
54,False,simple,True
55,False,moderate,True
56,True,simple,True
57,False,simple,True
58,True,simple,True
59,True,simple,True
60,True,simple,True
61,True,simple,True
62,True,challenging,True
63,False,simple,True
64,True,simple,True
65,False,moderate,True
66,True,simple,True
67,False,simple,True
68,False,moderate,True
69,False,simple,True
70,True,simple,True
71,False,simple,True
72,False,moderate,True
73,True,simple,True
74,False,moderate,True
75,True,simple,True
76,True,moderate,True
77,False,moderate,True
78,True,simple,True
79,False,moderate,True
80,True,simple,True
81,True,moderate,True
82,True,simple,True
83,False,challenging,True
84,False,simple,True
85,True,moderate,True
86,True,simple,True
87,False,challenging,True
88,False,simple,True
